,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
1499,16820433.0,925000.0,San Diego,32.929234,-117.121544,3.0,3.0,1341.0,1.1674,acres,14.4971875,50851.944
1500,17003002.0,900000.0,San Diego,32.754536,-117.09465,2.0,4.0,1501.0,6098.4,sqft,12.748784722222222,6098.4
1501,17061841.0,5599900.0,San Diego,32.730656,-117.25202,8.0,5.0,4375.0,6969.6,sqft,5.362962962962963,6969.6
1503,16986874.0,1099999.0,San Diego,32.782936,-117.08867,2.0,3.0,1760.0,0.45,acres,12.61962962962963,19602.0
1506,17119381.0,730000.0,San Diego,32.701107,-117.04422,2.0,3.0,1740.0,6600.0,sqft,3.6841550925925928,6600.0
1507,16839110.0,87500000.0,La Jolla,32.85167,-117.26149,17.0,10.0,12981.0,0.8207070707070707,acres,18.85297453703704,35750.0
1508,61177292.0,1450000.0,San Diego,32.960217,-117.15994,3.0,4.0,1931.0,3484.8,sqft,4.940891203703703,3484.8
1509,16761818.0,4500000.0,Del Mar,32.985428,-117.23981,5.0,4.0,4180.0,0.54,acres,60.4971875,23522.4
1514,16954668.0,1450000.0,San Diego,32.757427,-117.149315,2.0,3.0,1340.0,3920.4,sqft,2.4971875,3920.4
1517,52511392.0,1595000.0,San Diego,32.95689,-117.219734,2.0,3.0,1360.0,4356.0,sqft,8.81826388888889,4356.0
1518,16934688.0,1095000.0,San Diego,32.78222,-117.20359,1.0,2.0,804.0,6534.0,sqft,3.753391203703704,6534.0
1520,16980970.0,1395000.0,San Diego,32.804855,-117.064285,2.0,3.0,1831.0,10300.0,sqft,0.6643865740740741,10300.0
1522,17082360.0,669950.0,San Diego,32.715107,-117.07474,2.0,3.0,1522.0,5900.0,sqft,9.4971875,5900.0
1523,16798485.0,1299000.0,San Diego,32.985977,-117.066895,3.0,4.0,1843.0,7284.0,sqft,5.827337962962963,7284.0
1525,16859835.0,1100000.0,San Diego,32.824245,-117.21706,2.0,3.0,1104.0,6200.0,sqft,0.3063078703703704,6200.0
1526,16934494.0,1329000.0,San Diego,32.781197,-117.197395,2.0,3.0,1234.0,6098.4,sqft,0.4405787037037037,6098.4
1528,17083809.0,0.0,San Diego,32.714798,-117.06132,1.0,3.0,1080.0,9147.6,sqft,110.8274074074074,9147.6
1529,16994590.0,1399000.0,San Diego,32.765858,-117.0878,3.0,3.0,1441.0,5227.2,sqft,1.4971875,5227.2
1530,16848159.0,3595000.0,La Jolla,32.84701,-117.27017,3.0,3.0,1900.0,5053.0,sqft,0.5395023148148148,5053.0
1531,16844518.0,2200000.0,San Diego,32.856754,-117.216995,3.0,5.0,2383.0,7840.8,sqft,0.48083333333333333,7840.8
1532,16931445.0,899000.0,San Diego,32.80008,-117.12885,2.0,3.0,1300.0,6300.0,sqft,5.441099537037037,6300.0
1537,17164983.0,599000.0,San Diego,32.571648,-117.05453,2.0,3.0,1110.0,5000.0,sqft,6.4971875,5000.0
1538,16852994.0,999000.0,San Diego,32.83869,-117.18684,2.0,4.0,1176.0,7500.0,sqft,7.4971875,7500.0
1541,140314120.0,3500000.0,San Diego,32.74008,-117.16284,6.0,7.0,3801.0,5025.0,sqft,6.6919560185185185,5025.0
1543,54905566.0,3229900.0,San Diego,32.93462,-117.20387,6.0,6.0,4687.0,9147.6,sqft,26.06707175925926,9147.6
1545,305156762.0,3750000.0,San Diego,32.970245,-117.201004,5.0,4.0,4160.0,0.26,acres,4.731550925925926,11325.6
1546,16807284.0,1649000.0,San Diego,32.966274,-117.10321,3.0,6.0,2659.0,9147.6,sqft,5.59318287037037,9147.6
1547,16910227.0,2095000.0,San Diego,32.80636,-117.2464,3.0,2.0,1198.0,6969.6,sqft,48.661944444444444,6969.6
1549,81962141.0,2399000.0,La Jolla,32.814655,-117.2524,3.0,3.0,2469.0,3484.8,sqft,40.7731712962963,3484.8
1550,16917426.0,999900.0,San Diego,32.81315,-117.16068,2.0,3.0,1290.0,5662.8,sqft,3.430439814814815,5662.8
1551,16950659.0,1898000.0,San Diego,32.755657,-117.193634,2.0,4.0,1845.0,10018.8,sqft,14.29119212962963,10018.8
1554,16868299.0,1399900.0,San Diego,32.81261,-117.050644,3.0,4.0,1710.0,6534.0,sqft,5.4971875,6534.0
1555,16933766.0,1378400.0,San Diego,32.788452,-117.199974,2.0,3.0,2155.0,5227.2,sqft,4.526747685185185,5227.2
1557,16800291.0,1400000.0,San Diego,32.969494,-117.0706,3.0,4.0,1902.0,4791.6,sqft,15.701493055555556,4791.6
1558,2067440456.0,595000.0,San Ysidro,32.554787,-117.04966,2.0,5.0,1415.0,10715.0,sqft,99.4971875,10715.0
1560,17133603.0,755000.0,San Diego,32.68428,-117.038574,2.0,3.0,1480.0,7840.8,sqft,14.640069444444444,7840.8
1561,17191899.0,1550000.0,San Diego,32.83963,-117.22771,3.0,3.0,1722.0,0.5100091827364555,acres,83.4971875,22216.0
1562,462559820.0,2800000.0,San Diego,32.790806,-117.19171,3.0,6.0,2998.0,7600.0,sqft,13.476469907407408,7600.0
1563,17093994.0,798000.0,San Diego,32.69515,-117.0804,2.0,4.0,1360.0,6098.4,sqft,67.69271990740741,6098.4
1564,17163351.0,775000.0,San Diego,32.584694,-117.051254,2.0,3.0,1271.0,5700.0,sqft,7.4971875,5700.0
1565,16866603.0,1395000.0,San Diego,32.9059,-117.098175,2.0,3.0,1656.0,10018.8,sqft,19.603715277777777,10018.8
1566,16843070.0,1399000.0,San Diego,32.859127,-117.22794,3.0,3.0,1323.0,2821.0,sqft,47.4971875,2821.0
