,price,bed,bath,lot_sqft,lot_living,lat,long,income,poverty,unemployment,bachelor,rent,area_home_value,owner_occ,pop_density,risk_fire,risk_earthquake,risk_heat,dist_city,dist_airport,dist_coast
0,4980000.0,4.0,5.0,4922.0,4126.0,34.100803,-118.38057,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,73.92054035413173,94.13863222860404,8.354783354783354,13.715618717629958,17.888755979267597,13.623170945951452
1,1215000.0,3.0,2.0,7840.8,1825.0,34.180298,-118.6425,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,18.467648912513525,89.61506903071599,13.904380571047238,39.379251514444114,34.19253963095028,22.66647565008264
2,2629000.0,4.0,4.0,43381.404,3019.0,34.112854,-118.433876,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,98.16037006647404,93.61421283578896,13.158396491729826,18.76800481106909,19.185656948436208,11.646300179210249
4,849000.0,2.0,2.0,5002.0,1154.0,33.713604,-118.29188,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,0.0,87.90981413435125,8.907717241050575,37.91199170845689,27.54576649586941,35.12460071107891
5,949000.0,3.0,2.0,9857.628,2158.0,34.0673,-118.17252,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,78.94830723127966,99.85730084549247,43.44940178273512,6.768661575074844,25.856139932655203,29.839640240886528
6,799000.0,3.0,2.0,5519.052,1300.0,34.10593,-118.18897,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,45.3593045794537,93.4560546062098,27.59664426331093,7.81679076954433,27.26190499227583,29.45256363832745
8,2300000.0,5.0,3.0,11084.0,2967.0,34.181713,-118.65543,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,93.68794073228447,96.56451785523171,39.40249773583107,40.54657895801898,35.07515635239712,23.537316382830667
10,899000.0,3.0,3.0,3084.048,1728.0,34.103657,-118.20901,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,0.0,94.27419642538618,19.21921921921922,6.553346382790828,25.743509093710465,27.627835910002112
11,6395000.0,4.0,6.0,33166.584,4599.0,34.12938,-118.372,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,92.28354322000642,92.6058054772692,8.171266504599837,14.60265809692821,21.14935715310712,16.42608650682724
13,1049000.0,2.0,2.0,7711.0,2080.0,34.112896,-118.23193,107787.0,0.0818782444549315,0.0541516245487364,0.4958826556870818,2217.0,709500.0,0.6942771084337349,1022.2314751436742,46.35463118214358,95.841508805727,36.93693693693694,6.835588884045833,25.051379852782105,26.042421721543068
