zpid,palsId,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,addressState,shouldShowRequestOnPrice,beds,baths,area,flexFieldText,contentType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,visited,timeOnZillow,isPaidBuilderNewConstruction,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.zestimate,hdpData.homeInfo.listing_sub_type.is_comingSoon,info6String,brokerName,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_FSBO,lotAreaString,communityName,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.providerListingID,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.listing_sub_type.is_foreclosure,info3String,availabilityDate
17706471,494001_20252566,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/faecbeb64e63ad8ef3b0c395d207daf4-p_e.jpg,True,/homedetails/8745-Lahontan-Dr-Truckee-CA-96161/17706471_zpid/,FOR_SALE,House for sale,"$5,795,000",$5.80M,"8745 Lahontan Dr, Truckee, CA 96161",CA,False,7.0,9.0,6611.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,16743138000,False,39.295807,-120.16551,17706471,8745 Lahontan Dr,96161,Truckee,CA,39.295807,-120.16551,5795000.0,9.0,7.0,6611.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,8506.0,True,,,False,False,FOR_SALE,5795000.0,,16743138000,True,False,False,USD,USA,3463634.0,2.4,acres,False,,,,,5445800.0,,,COMPASS,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
19457578,494001_20260327,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c5a4015909ee468ec0c168e74a92cc26-p_e.jpg,True,/homedetails/12621-Peregrine-Dr-Truckee-CA-96161/19457578_zpid/,FOR_SALE,House for sale,"$850,000",$850K,"12621 Peregrine Dr, Truckee, CA 96161",CA,False,3.0,3.0,1593.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,8635311000,False,39.3624,-120.23922,19457578,12621 Peregrine Dr,96161,Truckee,CA,39.3624,-120.23922,850000.0,3.0,3.0,1593.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,4895.0,True,,,False,False,FOR_SALE,850000.0,,8635311000,True,False,False,USD,USA,176838.0,,,False,1780124400000.0,"$24,000 (May 30)",-24000.0,,835100.0,,,Coldwell Banker Realty,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
17706628,494001_20260191,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8db3994f75fe9d61a499ae157747c546-p_e.jpg,True,/homedetails/100-Bob-Watson-Truckee-CA-96161/17706628_zpid/,FOR_SALE,House for sale,"$3,475,000",$3.48M,"100 Bob Watson, Truckee, CA 96161",CA,False,5.0,6.0,4028.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,11053855000,False,39.298275,-120.15433,17706628,100 Bob Watson,96161,Truckee,CA,39.298275,-120.15433,3475000.0,6.0,5.0,4028.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,8107.0,True,,,False,False,FOR_SALE,3475000.0,,11053855000,True,False,False,USD,USA,2166292.0,0.618,acres,False,1775545200000.0,"$125,000 (Apr 7)",-125000.0,,3325200.0,,,Compass,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
61246220,494001_20260453,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cd720e1cc144f0caaa39f185220abd5f-p_e.jpg,True,/homedetails/2338-Overlook-Pl-Truckee-CA-96161/61246220_zpid/,FOR_SALE,House for sale,"$4,795,000",$4.80M,"2338 Overlook Pl, Truckee, CA 96161",CA,False,5.0,7.0,4925.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,7154431000,False,39.27725,-120.130455,61246220,2338 Overlook Pl,96161,Truckee,CA,39.27725,-120.130455,4795000.0,7.0,5.0,4925.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,6513.0,True,,,False,False,FOR_SALE,4795000.0,,7154431000,True,False,False,USD,USA,3682264.0,0.58,acres,False,,,,,4554200.0,,,Tahoe Luxury Properties,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
124741119,494001_20260524,ForSale,New Construction,https://photos.zillowstatic.com/fp/3c8f6e0aa5ba0f223868c4d7762424cd-p_e.jpg,True,/homedetails/9348-Ninebark-Rd-Truckee-CA-96161/124741119_zpid/,FOR_SALE,New construction,"$6,995,000",$7.00M,"9348 Ninebark Rd, Truckee, CA 96161",CA,False,5.0,6.0,5100.0,,,False,False,ForSale,New Construction,False,True,False,False,True,False,False,NEW_CONSTRUCTION,False,6298401000,False,39.306206,-120.169266,124741119,9348 Ninebark Rd,96161,Truckee,CA,39.306206,-120.169266,6995000.0,6.0,5.0,5100.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,5091.0,,,,False,False,FOR_SALE,6995000.0,,6298401000,True,False,False,USD,USA,816000.0,,,False,,,,,6717100.0,,,Schaffer's Mill Real Estate Co,,,,,,True,,BUILDER_SPEC,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
19435203,494001_20260946,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a81b263db85dc7f4d0346132c834e454-p_e.jpg,True,/homedetails/10971-Beacon-Rd-Truckee-CA-96161/19435203_zpid/,FOR_SALE,House for sale,"$2,350,000",$2.35M,"10971 Beacon Rd, Truckee, CA 96161",CA,False,4.0,3.0,3244.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,2599800000,False,39.35041,-120.18712,19435203,10971 Beacon Rd,96161,Truckee,CA,39.35041,-120.18712,2350000.0,3.0,4.0,3244.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,6816.0,True,,,False,False,FOR_SALE,2350000.0,,2599800000,True,False,False,USD,USA,902400.0,7.54,acres,False,,,,,2248300.0,,,Coldwell Banker Realty,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
205300110,494001_20260674,ForSale,New Construction,https://photos.zillowstatic.com/fp/9f5c5255b9118e37a0af8afb7ae48167-p_e.jpg,True,/homedetails/11646-Henness-Rd-Truckee-CA-96161/205300110_zpid/,FOR_SALE,New construction,"$3,595,000",$3.60M,"11646 Henness Rd, Truckee, CA 96161",CA,False,4.0,5.0,3526.0,,,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,4476919000,False,39.343052,-120.1668,205300110,11646 Henness Rd,96161,Truckee,CA,39.343052,-120.1668,3595000.0,5.0,4.0,3526.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,7685.0,,,,False,False,FOR_SALE,3595000.0,,4476919000,True,False,False,USD,USA,508509.0,0.45,acres,False,,,,,3476600.0,,,Sierra Sotheby's Int - Rock,,,,,,True,,BUILDER_SPEC,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
325560537,494001_20260714,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/eacc53e0dcf2a0f7f37e2ac373204f92-p_e.jpg,True,/homedetails/11230-Sutters-Trl-Truckee-CA-96161/325560537_zpid/,FOR_SALE,House for sale,"$3,250,000",$3.25M,"11230 Sutters Trl, Truckee, CA 96161",CA,False,4.0,5.0,3271.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,4123892000,False,39.342636,-120.14968,325560537,11230 Sutters Trl,96161,Truckee,CA,39.342636,-120.14968,3250000.0,5.0,4.0,3271.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,7126.0,True,,,False,False,FOR_SALE,3250000.0,,4123892000,True,False,False,USD,USA,2099916.0,,,False,,,,,3112000.0,,,Carr Long Real Estate,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
205278986,494001_20260791,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b51c9bf30395ccc06998d0eff489b74c-p_e.jpg,True,/homedetails/11090-Henness-Rd-Truckee-CA-96161/205278986_zpid/,FOR_SALE,House for sale,"$2,250,000",$2.25M,"11090 Henness Rd, Truckee, CA 96161",CA,False,4.0,4.0,2585.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,3380027000,False,39.353153,-120.16506,205278986,11090 Henness Rd,96161,Truckee,CA,39.353153,-120.16506,2250000.0,4.0,4.0,2585.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,6462.0,True,True,Sun. 10am-1pm,False,False,FOR_SALE,2250000.0,"[{'open_house_start': 1782061200000, 'open_house_end': 1782072000000}]",3380027000,True,False,False,USD,USA,1282681.0,0.39,acres,False,,,,,2157100.0,,,Sierra Sotheby's Int - Rock,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
114450593,494001_20261018,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cc6a9d5b2b80a56d4dd15bec401c3741-p_e.jpg,True,/homedetails/10606-Dutton-Ct-Truckee-CA-96161/114450593_zpid/,FOR_SALE,House for sale,"$5,595,000",$5.60M,"10606 Dutton Ct, Truckee, CA 96161",CA,False,4.0,5.0,3250.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,2053181000,False,39.28466,-120.16382,114450593,10606 Dutton Ct,96161,Truckee,CA,39.28466,-120.16382,5595000.0,5.0,4.0,3250.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,7537.0,True,,,False,False,FOR_SALE,5595000.0,,2053181000,True,False,False,USD,USA,4870944.0,0.37,acres,False,,,,,5341900.0,,,"Martis Camp Realty, Inc.",,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
122010660,494001_20260874,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0d752ee292cf953371adfdac87f76ff2-p_e.jpg,True,/homedetails/2606-Elsinore-Ct-Truckee-CA-96161/122010660_zpid/,FOR_SALE,House for sale,"$6,995,000",$7.00M,"2606 Elsinore Ct, Truckee, CA 96161",CA,False,5.0,6.0,4136.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,2767674000,False,39.281643,-120.143585,122010660,2606 Elsinore Ct,96161,Truckee,CA,39.281643,-120.143585,6995000.0,6.0,5.0,4136.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,7238.0,True,,,False,False,FOR_SALE,6995000.0,,2767674000,True,False,False,USD,USA,6216900.0,0.5700000000000001,acres,False,,,,,6713800.0,,,"Martis Camp Realty, Inc.",,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
463056040,494001_20261110,ForSale,New Construction,https://photos.zillowstatic.com/fp/dda7a208310107bf429f432a47f72fea-p_e.jpg,True,/homedetails/15745-Donner-Pass-Rd-B-Truckee-CA-96161/463056040_zpid/,FOR_SALE,New construction,"$4,250,000",$4.25M,"15745 Donner Pass Rd #B, Truckee, CA 96161",CA,False,4.0,4.0,1940.0,,,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,1042503000,False,39.324154,-120.28665,463056040,15745 Donner Pass Rd #B,96161,Truckee,CA,39.324154,-120.28665,4250000.0,4.0,4.0,1940.0,TOWNHOUSE,FOR_SALE,-1,False,False,4642.0,,,,False,False,FOR_SALE,4250000.0,,1042503000,True,False,False,USD,USA,,,,False,,,,# B,4058000.0,,,Chase International - Trk,,,,,,True,,NEW_CONSTRUCTION_TYPE_OTHER,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
19455958,494001_20260531,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/debfa58a0d18d0cc61f625eff344a809-p_e.jpg,True,/homedetails/12774-Muhlebach-Way-Truckee-CA-96161/19455958_zpid/,FOR_SALE,House for sale,"$2,800,028",$2.80M,"12774 Muhlebach Way, Truckee, CA 96161",CA,False,7.0,6.0,4909.0,,,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,6221214000,False,39.3515,-120.21949,19455958,12774 Muhlebach Way,96161,Truckee,CA,39.3515,-120.21949,2800028.0,6.0,7.0,4909.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,7163.0,True,,,False,False,FOR_SALE,2800028.0,,6221214000,True,False,False,USD,USA,1816897.0,0.54,acres,False,,,,,2672700.0,,,COMPASS,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/54ff30df96557419401817043bf2aaf7-zillow_web_48_23.jpg,
