zpid,palsId,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,addressState,shouldShowRequestOnPrice,beds,baths,area,flexFieldText,contentType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,visited,info6String,brokerName,timeOnZillow,isPaidBuilderNewConstruction,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.listing_sub_type.is_bankOwned,lotAreaString,hdpData.homeInfo.listing_sub_type.is_comingSoon,availabilityDate,hdpData.homeInfo.listing_sub_type.is_FSBO,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,streetViewURL,streetViewMetadataURL,communityName,builderName,hdpData.homeInfo.providerListingID,isPropertyResultCDP,isCdpResult,unitCount,isComingSoonCommunity,hdpData.homeInfo.group_type,hdpData.homeInfo.priceSuffix,info3String,info2String,style
454247206,3009_RS26077489,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/84b5f2f844b2086772bf55400b0c9e4a-p_e.jpg,True,/homedetails/1045-Villorrio-Palm-Springs-CA-92262/454247206_zpid/,FOR_SALE,Condo for sale,"$597,000",$597K,"1045 Villorrio, Palm Springs, CA 92262",CA,False,2.0,3.0,1200.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,,VIP Premier Realty Corp,6194018000,False,33.819733,-116.534966,454247206,1045 Villorrio,92262,Palm Springs,CA,33.819733,-116.534966,597000.0,3.0,2.0,1200.0,CONDO,FOR_SALE,-1,False,False,587100.0,2801.0,True,,,False,False,FOR_SALE,597000.0,,6194018000,True,False,False,USD,USA,,,,False,1781766000000.0,"$1,000 (Jun 18)",-1000.0,,,,,,,,,,,,,,,,,,,,,,,,,
18024861,17327010_26670789PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3e5ae65e832f2410aaa6d6f308610965-p_e.jpg,True,/homedetails/543-N-Paseo-De-Anza-Palm-Springs-CA-92262/18024861_zpid/,FOR_SALE,House for sale,"$660,000",$660K,"543 N Paseo De Anza, Palm Springs, CA 92262",CA,False,2.0,1.0,1210.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,Robert Mosura DRE # 01719772,Town Real Estate,6574033000,False,33.831165,-116.53113,18024861,543 N Paseo De Anza,92262,Palm Springs,CA,33.831165,-116.53113,660000.0,1.0,2.0,1210.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,620300.0,2376.0,True,,,False,False,FOR_SALE,660000.0,,6574033000,True,False,False,USD,USA,605000.0,6098.4,sqft,False,1778223600000.0,"$19,000 (May 8)",-19000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2069747397,3009_219148190PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7762c8b613bb42c275951759d5a3b1bd-p_e.jpg,True,/homedetails/2077-Nicola-Rd-E-Palm-Springs-CA-92262/2069747397_zpid/,FOR_SALE,House for sale,"$1,275,000",$1.28M,"2077 Nicola Rd E, Palm Springs, CA 92262",CA,False,4.0,4.0,2600.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,,Berkshire Hathaway HomeServices California Properties,2738018000,False,33.848244,-116.52495,2069747397,2077 Nicola Rd E,92262,Palm Springs,CA,33.848244,-116.52495,1275000.0,4.0,4.0,2600.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1227100.0,5502.0,True,,,False,False,FOR_SALE,1275000.0,,2738018000,True,False,False,USD,USA,,0.3,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439470500,17327010_26725353PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8c6b244f36e1106e994537dbcc896e47-p_e.jpg,True,/homedetails/1320-Woodward-Way-Palm-Springs-CA-92262/439470500_zpid/,FOR_SALE,House for sale,"$1,590,000",$1.59M,"1320 Woodward Way, Palm Springs, CA 92262",CA,False,4.0,4.0,2693.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,Randy Wiemer DRE # 01704307,Desert Lifestyle Properties,5346659000,False,33.822796,-116.53197,439470500,1320 Woodward Way,92262,Palm Springs,CA,33.822796,-116.53197,1590000.0,4.0,4.0,2693.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1536600.0,4944.0,True,,,False,False,FOR_SALE,1590000.0,,5346659000,True,False,False,USD,USA,,5105.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18032022,17327005_25631865PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d0b38bde897c14ace473e23b49febb5b-p_e.jpg,True,/homedetails/305-Arenas-Rd-Palm-Springs-CA-92262/18032022_zpid/,FOR_SALE,Condo for sale,"$799,000",$799K,"305 Arenas Rd, Palm Springs, CA 92262",CA,False,2.0,3.0,1592.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,Randy Wiemer DRE # 01704307,Desert Lifestyle Properties,14746888000,False,33.821083,-116.549225,18032022,305 Arenas Rd,92262,Palm Springs,CA,33.821083,-116.549225,799000.0,3.0,2.0,1592.0,CONDO,FOR_SALE,-1,False,False,,3485.0,True,,,False,False,FOR_SALE,799000.0,,14746888000,True,False,False,USD,USA,522492.0,0.0,sqft,False,1776409200000.0,"$25,000 (Apr 17)",-25000.0,,,,,,,,,,,,,,,,,,,,,,,,,
18017633,3009_219146267DA,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/04cf00056f5c31b19983b1b439fed994-p_e.jpg,True,/homedetails/1815-W-Nicola-Rd-Palm-Springs-CA-92262/18017633_zpid/,FOR_SALE,House for sale,"$1,050,000",$1.05M,"1815 W Nicola Rd, Palm Springs, CA 92262",CA,False,4.0,3.0,1790.0,,,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,,Intero Real Estate Services,5675618000,False,33.84709,-116.52704,18017633,1815 W Nicola Rd,92262,Palm Springs,CA,33.84709,-116.52704,1050000.0,3.0,4.0,1790.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1004500.0,5865.0,True,,,False,False,FOR_SALE,1050000.0,,5675618000,True,False,False,USD,USA,585335.0,0.25,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303947088,3009_219148902DA,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a8c3636788ec4c484019cb772892ccce-p_e.jpg,True,/homedetails/185-Vibe-Way-Palm-Springs-CA-92262/303947088_zpid/,FOR_SALE,House for sale,"$1,475,000",$1.48M,"185 Vibe Way, Palm Springs, CA 92262",CA,False,3.0,4.0,2343.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,,Coldwell Banker Realty,1269218000,False,33.820553,-116.51574,303947088,185 Vibe Way,92262,Palm Springs,CA,33.820553,-116.51574,1475000.0,4.0,3.0,2343.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1426200.0,6440.0,True,True,Sun. 11am-4pm,False,False,FOR_SALE,1475000.0,"[{'open_house_start': 1782064800000, 'open_house_end': 1782082800000}]",1269218000,True,False,False,USD,USA,927295.0,4792.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249901270,3009_219148424PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b3d5865b3a2ba5d8cff5fffe06816006-p_e.jpg,True,/homedetails/4251-Amber-Ln-Palm-Springs-CA-92262/249901270_zpid/,FOR_SALE,House for sale,"$1,050,000",$1.05M,"4251 Amber Ln, Palm Springs, CA 92262",CA,False,3.0,3.0,1976.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,,Coldwell Banker Realty,2219618000,False,33.838463,-116.50097,249901270,4251 Amber Ln,92262,Palm Springs,CA,33.838463,-116.50097,1050000.0,3.0,3.0,1976.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1012400.0,5757.0,True,,,False,False,FOR_SALE,1050000.0,,2219618000,True,False,False,USD,USA,710258.0,5663.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18016264,17327005_26665703PS,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ee0ac4ba2aa88fb39eb4a7744ded8dde-p_e.jpg,True,/homedetails/200-E-Racquet-Club-Rd-UNIT-8-Palm-Springs-CA-92262/18016264_zpid/,FOR_SALE,Condo for sale,"$565,000",$565K,"200 E Racquet Club Rd Unit 8, Palm Springs, CA 92262",CA,False,3.0,2.0,1537.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,Ty Nasief DRE # 01947034,Compass,8132749000,False,33.85366,-116.54453,18016264,200 E Racquet Club Rd Unit 8,92262,Palm Springs,CA,33.85366,-116.54453,565000.0,2.0,3.0,1537.0,CONDO,FOR_SALE,-1,False,False,,3176.0,True,,,False,False,FOR_SALE,565000.0,,8132749000,True,False,False,USD,USA,623199.0,0.0,sqft,False,1780038000000.0,"$34,000 (May 29)",-34000.0,Unit 8,,,,,,,,,,,,,,,,,,,,,,,,
18128797,3009_219147838DA,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6b0872098bea7d3d6d5ea04836c87e42-p_e.jpg,True,/homedetails/3420-E-Camino-Rojos-Palm-Springs-CA-92262/18128797_zpid/,FOR_SALE,House for sale,"$1,160,000",$1.16M,"3420 E Camino Rojos, Palm Springs, CA 92262",CA,False,3.0,2.0,1809.0,,,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,,Berkshire Hathaway HomeServices California Properties,3429218000,False,33.843147,-116.50903,18128797,3420 E Camino Rojos,92262,Palm Springs,CA,33.843147,-116.50903,1160000.0,2.0,3.0,1809.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,1114000.0,5273.0,True,,,False,False,FOR_SALE,1160000.0,,3429218000,True,False,False,USD,USA,1057740.0,10019.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
